tradingdate,closeprice,volume,open,high,low,symbol
2022-08-22,33.84,51006130,35,35.06,33.73,intc
2022-08-19,35.38,31425530,35.8,36.025,35.19,intc
2022-08-18,36.2,24598230,35.68,36.33,35.57,intc
2022-08-17,35.78,29176060,35.81,36.075,35.27,intc
2022-08-16,36.19,25000240,36.16,36.575,35.7,intc
2022-08-15,36.34,25400550,36.1,36.43,35.71,intc
2022-08-12,36.11,37675230,35.8,36.14,35.67,intc
2022-08-11,35.59,35569720,35.64,36.29,35.485,intc
2022-08-10,35.37,42243300,34.99,35.4,34.59,intc
2022-08-09,34.52,48202280,35.22,35.3,34.4,intc
2022-08-08,35.38,41601570,35.36,35.96,35.2,intc
2022-08-05,35.39,40205090,35.345,35.69,35.18,intc
2022-08-04,35.66,54046260,36.012,36.1,35.36,intc
2022-08-03,36.52,59513860,36.09,36.59,35.26,intc
2022-08-02,36.01,53929370,36.59,36.66,36,intc
2022-08-01,36.96,52513450,36.05,37.69,36.05,intc
2022-07-29,36.31,125292400,35.605,36.62,35.24,intc
2022-07-28,39.71,56662300,40.09,40.12,39.04,intc
2022-07-27,40.18,42571580,39.27,40.425,39.23,intc
2022-07-26,38.96,35925490,39.1,39.565,38.88,intc
2022-07-25,39.16,32263400,39.285,39.41,38.55,intc
2022-07-22,39.2,41349970,40.37,40.51,38.94,intc
2022-07-21,40.61,29661200,40.51,40.645,39.82,intc
2022-07-20,40.56,36387870,40.21,40.67,39.56,intc
2022-07-19,40.22,53095320,39.32,40.73,39.24,intc
2022-07-18,38.71,30814370,39.1,39.34,38.525,intc
2022-07-15,38.62,32892290,38.27,38.67,37.73,intc
2022-07-14,37.71,36690670,36.99,38.155,36.29,intc
2022-07-13,37.21,27059160,36.68,37.4299,36.62,intc
2022-07-12,37.21,30546280,37.65,37.7,36.99,intc
2022-07-11,37.2,25946880,37.66,37.675,37.03,intc
2022-07-08,37.99,22566350,37.66,38.14,37.3901,intc
2022-07-07,38.14,33165410,37.89,38.33,37.73,intc
2022-07-06,36.99,26258320,36.82,37.425,36.46,intc
2022-07-05,36.69,33225870,35.93,36.74,35.54,intc
2022-07-01,36.34,40596290,37.09,37.2,35.88,intc
2022-06-30,37.41,35141050,37.21,38,36.725,intc
2022-06-29,37.29,25437200,37.54,37.595,37.02,intc
2022-06-28,37.78,37842730,38.58,39.02,37.74,intc
2022-06-27,38.63,29585330,38.87,39.06,38.4701,intc
2022-06-24,38.61,38159910,37.845,38.64,37.74,intc
2022-06-23,37.41,30162970,37.61,37.62,36.91,intc
2022-06-22,37.38,32591520,37.33,37.77,37.22,intc
2022-06-21,37.73,34004880,37.36,38.025,37.325,intc
2022-06-17,36.97,71393190,37.48,38.12,36.6,intc
2022-06-16,37.34,45576550,37.695,37.79,36.93,intc
2022-06-15,38.65,37652260,38.56,39.17,37.92,intc
2022-06-14,37.93,31351680,38.01,38.2,37.54,intc
2022-06-13,37.77,50335920,38.55,38.81,37.67,intc
2022-06-10,39.18,43084430,39.85,40.08,39.18,intc
2022-06-09,40.01,39047180,41.01,41.35,40.01,intc
2022-06-08,41.23,59649870,42.25,42.26,41.03,intc
2022-06-07,43.53,25168690,43.06,43.59,42.66,intc
2022-06-06,43.34,25437060,43.81,44.04,43.08,intc
2022-06-03,43.39,33174660,44.105,44.2458,43.34,intc
2022-06-02,44.84,28727640,44.19,44.88,43.94,intc
2022-06-01,44.11,29885540,44.77,44.93,43.525,intc
2022-05-31,44.42,41111480,44.25,44.75,43.645,intc
2022-05-27,44.55,30553320,43.59,44.55,43.55,intc
2022-05-26,43.48,28826680,42.17,43.68,42.08,intc
2022-05-25,42.2,26283080,41.44,42.515,41.39,intc
2022-05-24,41.67,29837490,41.698,41.89,41.1,intc
2022-05-23,42,27199490,41.69,42.25,41.325,intc
2022-05-20,41.65,44802290,42.245,42.29,40.31,intc
2022-05-19,42.01,29181010,42.32,42.7,41.72,intc
2022-05-18,42.35,35218390,43.98,43.98,42.22,intc
2022-05-17,44.4,28596630,43.82,44.42,43.65,intc
2022-05-16,43.08,25071910,43.42,43.6099,42.785,intc
2022-05-13,43.6,32034140,43.42,43.84,42.97,intc
2022-05-12,42.84,42329640,42.73,42.905,42.01,intc
2022-05-11,42.83,40351670,44.02,44.29,42.78,intc
2022-05-10,44.01,42770020,44.35,44.735,43.5,intc
2022-05-09,43.07,44925770,43.81,44.2,42.87,intc
2022-05-06,44.3,40916580,44.49,45.15,43.84,intc
2022-05-05,44.6,52996680,45.6,45.91,44.13,intc
2022-05-04,46.54,44625620,45.06,46.64,44.41,intc
2022-05-03,45.06,40158390,44.79,45.49,44.23,intc
2022-05-02,44.96,45446470,43.72,44.99,43.51,intc
2022-04-29,43.59,70765890,44.99,45.36,43.5,intc
2022-04-28,46.84,41097040,45.785,47.27,45.5408,intc
2022-04-27,45.22,28320900,45.48,46.06,45.01,intc
2022-04-26,45.52,35356570,46.69,46.84,45.51,intc
2022-04-25,47.06,35999250,46.21,47.14,46.18,intc
2022-04-22,46.54,28219860,47.45,47.65,46.5,intc
2022-04-21,47.5,27316890,48.62,48.9,47.4,intc
2022-04-20,48.11,22787140,48.36,48.75,47.975,intc
2022-04-19,47.93,31483100,46.6,48,46.34,intc
2022-04-18,46.64,25593060,45.53,46.89,45.52,intc
2022-04-14,45.67,36181840,46.745,46.75,45.62,intc
2022-04-13,47.01,22171270,46.75,47.2687,46.55,intc
2022-04-12,46.5,29861380,47.32,47.91,46.41,intc
2022-04-11,46.57,30352480,46.9,47.295,46.53,intc
2022-04-08,47.02,22167260,47.28,47.58,46.845,intc
2022-04-07,47.56,24116970,47.425,47.91,46.77,intc
2022-04-06,47.54,31518750,47.44,48.17,47.24,intc
2022-04-05,48.13,25779170,48.83,48.98,48.02,intc
2022-04-04,49.2,23811320,48.17,49.23,47.915,intc
2022-04-01,48.11,46598560,49.83,49.9,47.325,intc
2022-03-31,49.56,43698250,51.2,51.26,49.51,intc
2022-03-30,51.43,24623260,52.25,52.51,51.22,intc
2022-03-29,52.25,27303710,52,52.29,51.275,intc
2022-03-28,51.51,22932370,51.36,51.57,50.56,intc
2022-03-25,51.83,33249490,50.69,51.9783,50.45,intc
2022-03-24,51.62,51677910,48.66,51.65,48.59,intc
2022-03-23,48.27,37126380,48.46,49.58,48.0601,intc
2022-03-22,48.39,27923320,47.5,48.47,47.4,intc
2022-03-21,47.39,32910940,47.46,47.89,47.065,intc
2022-03-18,47.45,46237120,46.82,47.6,46.35,intc
2022-03-17,47.14,28554990,46.32,47.2873,45.73,intc
2022-03-16,46.63,38885500,45.3,46.63,45.27,intc
2022-03-15,44.81,34448890,44.5,44.9,44.07,intc
2022-03-14,44.4,35993900,45.9,45.98,44.3,intc
2022-03-11,45.83,27082090,47.15,47.275,45.765,intc
2022-03-10,46.66,36455950,47.29,47.31,46.155,intc
2022-03-09,47.63,36076460,48.41,48.46,46.885,intc
2022-03-08,47.5,44813950,47.69,48.72,46.89,intc
2022-03-07,47.68,43813750,48.005,48.54,47.6,intc
2022-03-04,48.07,38324990,47.37,48.265,47.37,intc
2022-03-03,47.93,36389880,48.18,48.55,47.6236,intc
2022-03-02,48.87,46936510,47.52,48.99,47.48,intc
2022-03-01,46.82,53852980,47.54,47.9,46.22,intc
2022-02-28,47.7,41946110,47,47.82,46.85,intc
2022-02-25,47.71,39266330,46.93,47.79,46.25,intc
2022-02-24,46.72,72740050,43.9,46.79,43.625,intc
2022-02-23,44.65,38176740,45.17,45.71,44.5514,intc
2022-02-22,44.69,57093320,44.69,45.405,43.8501,intc
2022-02-18,45.04,76520100,46.19,46.21,44.51,intc
2022-02-17,47.57,32030620,47.86,48.26,47.38,intc
2022-02-16,48.23,26022940,48.06,48.49,47.6,intc
2022-02-15,48.44,35857520,47.7,48.46,47.19,intc
2022-02-14,47.58,28456930,47.92,48.1772,47.1101,intc
2022-02-11,47.63,37208230,48.95,49.11,47.5,intc
